Date,TemperatureMax,TemperatureAvg,TemperatureMin,WindSpeedMax,WindSpeedAvg,WindSpeedMin
2020-10-01,64,57,54,24,12.1,5
2020-10-02,55,51.9,46,10,4.1,0
2020-10-03,54,49.3,45,9,4.7,0
2020-10-04,61,51.4,41,9,5.1,0
2020-10-05,61,54.7,48,13,6.4,0
2020-10-06,63,57.1,52,21,9.4,2
2020-10-07,59,56.2,52,29,14.8,7
2020-10-08,50,44.7,36,23,14,5
2020-10-09,57,47.2,36,20,10,2
2020-10-10,73,61.9,52,38,19,5
2020-10-11,48,44.3,37,12,7,2
2020-10-12,59,48.1,34,18,10.8,7
2020-10-13,54,50.2,48,15,10.8,3
2020-10-14,59,50.8,46,18,7.8,3
2020-10-15,72,57,48,24,14.3,6
2020-10-16,52,50.2,45,16,9.6,2
2020-10-17,55,47.4,41,15,6.8,0
2020-10-18,59,51.9,43,20,13.5,6
2020-10-19,55,50.7,48,21,7.3,2
2020-10-20,52,47.3,45,14,9,2
2020-10-21,61,49.2,41,17,10.9,3
2020-10-22,55,50.7,43,8,4.3,0
2020-10-23,75,60.2,48,21,10.5,0
2020-10-24,66,53.6,39,20,14.7,9
2020-10-25,43,38.7,34,15,9.2,6
2020-10-26,41,37.8,36,13,7.8,2
2020-10-27,39,35.7,30,13,7.2,3
2020-10-28,46,38.8,32,17,7.1,2
2020-10-29,46,42.1,32,20,10.1,2
2020-10-30,36,29.7,25,21,11.8,0
2020-10-31,41,32.8,21,13,6.6,0